[2025-04-01 18:18:41] 🚨 ANOMALY DETECTED! 52.182.141.63 → 192.168.100.2:8945 | Proto: TCP | Len: 519
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1317
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1204
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 150.171.43.11 → 192.168.100.2:8934 | Proto: TCP | Len: 1466
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 150.171.43.11 → 192.168.100.2:8934 | Proto: TCP | Len: 1447
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.105.35.25:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 192.168.100.2 → 52.105.35.25:443 | Proto: TCP | Len: 1340
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 52.105.35.25 → 192.168.100.2:8935 | Proto: TCP | Len: 1466
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 52.105.35.25 → 192.168.100.2:8935 | Proto: TCP | Len: 1466
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 52.105.35.25 → 192.168.100.2:8935 | Proto: TCP | Len: 1466
[2025-04-01 18:18:42] 🚨 ANOMALY DETECTED! 52.105.35.25 → 192.168.100.2:8935 | Proto: TCP | Len: 542
[2025-04-01 18:18:43] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:43] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1317
[2025-04-01 18:18:43] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1466
[2025-04-01 18:18:43] 🚨 ANOMALY DETECTED! 192.168.100.2 → 150.171.43.11:443 | Proto: TCP | Len: 1018
