timestamp,src_ip,dst_ip,protocol,src_port,dst_port,length,label
1743513449.61295,192.168.1.103,192.168.1.254,UDP,56396,1883,46,normal
1743513449.613264,192.168.1.107,192.168.1.1,TCP,58940,80,58,normal
1743513449.613506,192.168.1.106,192.168.1.2,TCP,39748,80,58,normal
1743513449.613709,192.168.1.108,192.168.1.2,UDP,20282,53,45,normal
1743513449.613894,192.168.1.100,192.168.1.2,TCP,61917,80,58,normal
1743513449.614096,192.168.1.107,192.168.1.1,TCP,50054,443,59,normal
1743513449.614301,192.168.1.109,192.168.1.254,UDP,50206,53,45,normal
1743513449.614486,192.168.1.106,192.168.1.1,TCP,3321,443,59,normal
1743513449.614689,192.168.1.101,192.168.1.2,UDP,44331,5683,46,normal
1743513449.614873,192.168.1.103,192.168.1.2,UDP,24012,1883,46,normal
1743513449.615058,192.168.1.101,192.168.1.1,UDP,39031,53,45,normal
1743513449.615241,192.168.1.107,192.168.1.2,UDP,5052,5683,46,normal
1743513449.615422,192.168.1.109,192.168.1.2,TCP,11071,443,59,normal
1743513449.615628,192.168.1.102,192.168.1.254,TCP,42523,443,59,normal
1743513449.615826,192.168.1.107,192.168.1.1,UDP,11105,1883,46,normal
1743513449.616009,192.168.1.103,192.168.1.2,TCP,55964,80,58,normal
1743513449.616212,192.168.1.104,192.168.1.254,UDP,10204,1883,46,normal
1743513449.616395,192.168.1.101,192.168.1.1,UDP,30672,53,45,normal
1743513449.61658,192.168.1.106,192.168.1.1,UDP,28683,53,45,normal
1743513449.616763,192.168.1.102,192.168.1.2,TCP,16865,80,58,normal
1743513449.616967,192.168.1.108,192.168.1.2,UDP,50847,5683,46,normal
1743513449.617149,192.168.1.108,192.168.1.2,UDP,21732,53,45,normal
1743513449.617339,192.168.1.105,192.168.1.2,UDP,14016,1883,46,normal
1743513449.617526,192.168.1.105,192.168.1.1,TCP,36315,80,58,normal
1743513449.617727,192.168.1.109,192.168.1.254,TCP,32217,443,59,normal
1743513449.61793,192.168.1.100,192.168.1.2,TCP,28351,443,59,normal
1743513449.618134,192.168.1.105,192.168.1.254,TCP,51265,80,58,normal
1743513449.618336,192.168.1.104,192.168.1.1,TCP,52434,80,58,normal
1743513449.618537,192.168.1.106,192.168.1.1,TCP,5053,80,58,normal
1743513449.618737,192.168.1.104,192.168.1.254,UDP,41595,53,45,normal
1743513449.618925,192.168.1.106,192.168.1.254,UDP,20089,53,45,normal
1743513449.619116,192.168.1.105,192.168.1.254,UDP,8874,1883,46,normal
1743513449.6193,192.168.1.100,192.168.1.2,TCP,52965,443,59,normal
1743513449.619503,192.168.1.105,192.168.1.254,UDP,22820,53,45,normal
1743513449.619692,192.168.1.107,192.168.1.1,UDP,13723,5683,46,normal
1743513449.619875,192.168.1.105,192.168.1.254,UDP,26895,5683,46,normal
1743513449.620058,192.168.1.102,192.168.1.254,UDP,34344,1883,46,normal
1743513449.620244,192.168.1.109,192.168.1.2,UDP,57340,5683,46,normal
1743513449.620426,192.168.1.109,192.168.1.254,UDP,46554,5683,46,normal
1743513449.620613,192.168.1.108,192.168.1.2,TCP,31924,80,58,normal
1743513449.620813,192.168.1.105,192.168.1.254,TCP,36046,80,58,normal
1743513449.621018,192.168.1.109,192.168.1.1,TCP,46571,80,58,normal
1743513449.621219,192.168.1.101,192.168.1.1,UDP,46077,53,45,normal
1743513449.621403,192.168.1.109,192.168.1.2,UDP,50362,1883,46,normal
1743513449.621588,192.168.1.104,192.168.1.1,UDP,22679,5683,46,normal
1743513449.621772,192.168.1.108,192.168.1.254,UDP,2611,5683,46,normal
1743513449.621957,192.168.1.109,192.168.1.2,UDP,15465,53,45,normal
1743513449.622143,192.168.1.100,192.168.1.254,UDP,19645,5683,46,normal
1743513449.622455,192.168.1.103,192.168.1.2,UDP,18503,53,45,normal
1743513449.622693,192.168.1.106,192.168.1.1,UDP,15652,5683,46,normal
1743513449.622935,192.168.1.107,192.168.1.2,TCP,51028,443,59,normal
1743513449.623206,192.168.1.106,192.168.1.2,UDP,53269,53,45,normal
1743513449.62345,192.168.1.109,192.168.1.1,UDP,52460,53,45,normal
1743513449.623685,192.168.1.102,192.168.1.2,UDP,38677,5683,46,normal
1743513449.62392,192.168.1.100,192.168.1.254,UDP,44909,1883,46,normal
1743513449.624163,192.168.1.108,192.168.1.2,TCP,37230,80,58,normal
1743513449.624428,192.168.1.106,192.168.1.254,UDP,8988,5683,46,normal
1743513449.62487,192.168.1.102,192.168.1.1,UDP,19771,5683,46,normal
